SampleUniqueStr	Sample1	Sample2	Sim_NumSNPs	Sim_SNPs_selectionMethod	Sample2_fraction	Sim_reads_per_SNP	Replicate	ibd_m1	ibd_m2	sim_pops
Sim1062	I8_BC	I2_BC	2000000	Random	0	2	1	100	100	SAS
Sim1063	I8_BC	I2_BC	2000000	Random	0.0001	2	1	100	100	SAS
Sim1064	I8_BC	I2_BC	2000000	Random	0.0002	2	1	100	100	SAS
Sim1065	I8_BC	I2_BC	2000000	Random	0.0003	2	1	100	100	SAS
Sim1066	I8_BC	I2_BC	2000000	Random	0.0004	2	1	100	100	SAS
Sim1067	I8_BC	I2_BC	2000000	Random	0.0005	2	1	100	100	SAS
Sim1068	I8_BC	I2_BC	2000000	Random	0.0006	2	1	100	100	SAS
Sim1069	I8_BC	I2_BC	2000000	Random	0.0007	2	1	100	100	SAS
Sim1070	I8_BC	I2_BC	2000000	Random	0.0008	2	1	100	100	SAS
Sim1071	I8_BC	I2_BC	2000000	Random	0.0009	2	1	100	100	SAS
Sim1072	I8_BC	I2_BC	2000000	Random	0.001	2	1	100	100	SAS
Sim1073	I8_BC	I2_BC	2000000	Random	0.002	2	1	100	100	SAS
Sim1074	I8_BC	I2_BC	2000000	Random	0.003	2	1	100	100	SAS
Sim1075	I8_BC	I2_BC	2000000	Random	0.004	2	1	100	100	SAS
Sim1076	I8_BC	I2_BC	2000000	Random	0.005	2	1	100	100	SAS
Sim1077	I8_BC	I2_BC	2000000	Random	0.006	2	1	100	100	SAS
Sim1078	I8_BC	I2_BC	2000000	Random	0.007	2	1	100	100	SAS
Sim1079	I8_BC	I2_BC	2000000	Random	0.008	2	1	100	100	SAS
Sim1080	I8_BC	I2_BC	2000000	Random	0.009	2	1	100	100	SAS
Sim1081	I8_BC	I2_BC	2000000	Random	0.01	2	1	100	100	SAS
Sim1082	I8_BC	I2_BC	2000000	Random	0.011	2	1	100	100	SAS
Sim1083	I8_BC	I2_BC	2000000	Random	0.012	2	1	100	100	SAS
Sim1084	I8_BC	I2_BC	2000000	Random	0.013	2	1	100	100	SAS
Sim1085	I8_BC	I2_BC	2000000	Random	0.014	2	1	100	100	SAS
Sim1086	I8_BC	I2_BC	2000000	Random	0.015	2	1	100	100	SAS
Sim1087	I8_BC	I2_BC	2000000	Random	0.016	2	1	100	100	SAS
Sim1088	I8_BC	I2_BC	2000000	Random	0.017	2	1	100	100	SAS
Sim1089	I8_BC	I2_BC	2000000	Random	0.018	2	1	100	100	SAS
Sim1090	I8_BC	I2_BC	2000000	Random	0.019	2	1	100	100	SAS
Sim1091	I8_BC	I2_BC	2000000	Random	0.02	2	1	100	100	SAS
Sim1092	I8_BC	I2_BC	2000000	Random	0.0225	2	1	100	100	SAS
Sim1093	I8_BC	I2_BC	2000000	Random	0.025	2	1	100	100	SAS
Sim1094	I8_BC	I2_BC	2000000	Random	0.0275	2	1	100	100	SAS
Sim1095	I8_BC	I2_BC	2000000	Random	0.03	2	1	100	100	SAS
Sim1096	I8_BC	I2_BC	2000000	Random	0.0325	2	1	100	100	SAS
Sim1097	I8_BC	I2_BC	2000000	Random	0.035	2	1	100	100	SAS
Sim1098	I8_BC	I2_BC	2000000	Random	0.0375	2	1	100	100	SAS
Sim1099	I8_BC	I2_BC	2000000	Random	0.04	2	1	100	100	SAS
Sim1100	I8_BC	I2_BC	2000000	Random	0.0425	2	1	100	100	SAS
Sim1101	I8_BC	I2_BC	2000000	Random	0.045	2	1	100	100	SAS
Sim1102	I8_BC	I2_BC	2000000	Random	0.0475	2	1	100	100	SAS
Sim1103	I8_BC	I2_BC	2000000	Random	0.05	2	1	100	100	SAS
Sim1104	I8_BC	I2_BC	2000000	Random	0.06	2	1	100	100	SAS
Sim1105	I8_BC	I2_BC	2000000	Random	0.07	2	1	100	100	SAS
Sim1106	I8_BC	I2_BC	2000000	Random	0.08	2	1	100	100	SAS
Sim1107	I8_BC	I2_BC	2000000	Random	0.09	2	1	100	100	SAS
Sim1108	I8_BC	I2_BC	2000000	Random	0.1	2	1	100	100	SAS
Sim1109	I8_BC	I2_BC	2000000	Random	0.15	2	1	100	100	SAS
Sim1110	I8_BC	I2_BC	2000000	Random	0.2	2	1	100	100	SAS
Sim1111	I8_BC	I2_BC	2000000	Random	0.25	2	1	100	100	SAS
Sim1112	I8_BC	I2_BC	2000000	Random	0.3	2	1	100	100	SAS
Sim1113	I8_BC	I2_BC	2000000	Random	0.35	2	1	100	100	SAS
Sim1114	I8_BC	I2_BC	2000000	Random	0.4	2	1	100	100	SAS
Sim1115	I8_BC	I2_BC	2000000	Random	0.45	2	1	100	100	SAS
Sim1116	I8_BC	I2_BC	2000000	Random	0.5	2	1	100	100	SAS
Sim1117	I8_BC	I2_BC	2000000	Random	0.6	2	1	100	100	SAS
Sim1118	I8_BC	I2_BC	2000000	Random	0.7	2	1	100	100	SAS
Sim1119	I8_BC	I2_BC	2000000	Random	0.8	2	1	100	100	SAS
Sim1120	I8_BC	I2_BC	2000000	Random	0.9	2	1	100	100	SAS
Sim1121	I8_BC	I2_BC	2000000	Random	0.95	2	1	100	100	SAS
Sim1122	I8_BC	I2_BC	2000000	Random	1	2	1	100	100	SAS
Sim1123	I8_BC	I3_BC	2000000	Random	0	2	1	100	100	MXL
Sim1124	I8_BC	I3_BC	2000000	Random	0.0001	2	1	100	100	MXL
Sim1125	I8_BC	I3_BC	2000000	Random	0.0002	2	1	100	100	MXL
Sim1126	I8_BC	I3_BC	2000000	Random	0.0003	2	1	100	100	MXL
Sim1127	I8_BC	I3_BC	2000000	Random	0.0004	2	1	100	100	MXL
Sim1128	I8_BC	I3_BC	2000000	Random	0.0005	2	1	100	100	MXL
Sim1129	I8_BC	I3_BC	2000000	Random	0.0006	2	1	100	100	MXL
Sim1130	I8_BC	I3_BC	2000000	Random	0.0007	2	1	100	100	MXL
Sim1131	I8_BC	I3_BC	2000000	Random	0.0008	2	1	100	100	MXL
Sim1132	I8_BC	I3_BC	2000000	Random	0.0009	2	1	100	100	MXL
Sim1133	I8_BC	I3_BC	2000000	Random	0.001	2	1	100	100	MXL
Sim1134	I8_BC	I3_BC	2000000	Random	0.002	2	1	100	100	MXL
Sim1135	I8_BC	I3_BC	2000000	Random	0.003	2	1	100	100	MXL
Sim1136	I8_BC	I3_BC	2000000	Random	0.004	2	1	100	100	MXL
Sim1137	I8_BC	I3_BC	2000000	Random	0.005	2	1	100	100	MXL
Sim1138	I8_BC	I3_BC	2000000	Random	0.006	2	1	100	100	MXL
Sim1139	I8_BC	I3_BC	2000000	Random	0.007	2	1	100	100	MXL
Sim1140	I8_BC	I3_BC	2000000	Random	0.008	2	1	100	100	MXL
Sim1141	I8_BC	I3_BC	2000000	Random	0.009	2	1	100	100	MXL
Sim1142	I8_BC	I3_BC	2000000	Random	0.01	2	1	100	100	MXL
Sim1143	I8_BC	I3_BC	2000000	Random	0.011	2	1	100	100	MXL
Sim1144	I8_BC	I3_BC	2000000	Random	0.012	2	1	100	100	MXL
Sim1145	I8_BC	I3_BC	2000000	Random	0.013	2	1	100	100	MXL
Sim1146	I8_BC	I3_BC	2000000	Random	0.014	2	1	100	100	MXL
Sim1147	I8_BC	I3_BC	2000000	Random	0.015	2	1	100	100	MXL
Sim1148	I8_BC	I3_BC	2000000	Random	0.016	2	1	100	100	MXL
Sim1149	I8_BC	I3_BC	2000000	Random	0.017	2	1	100	100	MXL
Sim1150	I8_BC	I3_BC	2000000	Random	0.018	2	1	100	100	MXL
Sim1151	I8_BC	I3_BC	2000000	Random	0.019	2	1	100	100	MXL
Sim1152	I8_BC	I3_BC	2000000	Random	0.02	2	1	100	100	MXL
Sim1153	I8_BC	I3_BC	2000000	Random	0.0225	2	1	100	100	MXL
Sim1154	I8_BC	I3_BC	2000000	Random	0.025	2	1	100	100	MXL
Sim1155	I8_BC	I3_BC	2000000	Random	0.0275	2	1	100	100	MXL
Sim1156	I8_BC	I3_BC	2000000	Random	0.03	2	1	100	100	MXL
Sim1157	I8_BC	I3_BC	2000000	Random	0.0325	2	1	100	100	MXL
Sim1158	I8_BC	I3_BC	2000000	Random	0.035	2	1	100	100	MXL
Sim1159	I8_BC	I3_BC	2000000	Random	0.0375	2	1	100	100	MXL
Sim1160	I8_BC	I3_BC	2000000	Random	0.04	2	1	100	100	MXL
Sim1161	I8_BC	I3_BC	2000000	Random	0.0425	2	1	100	100	MXL
Sim1162	I8_BC	I3_BC	2000000	Random	0.045	2	1	100	100	MXL
Sim1163	I8_BC	I3_BC	2000000	Random	0.0475	2	1	100	100	MXL
Sim1164	I8_BC	I3_BC	2000000	Random	0.05	2	1	100	100	MXL
Sim1165	I8_BC	I3_BC	2000000	Random	0.06	2	1	100	100	MXL
Sim1166	I8_BC	I3_BC	2000000	Random	0.07	2	1	100	100	MXL
Sim1167	I8_BC	I3_BC	2000000	Random	0.08	2	1	100	100	MXL
Sim1168	I8_BC	I3_BC	2000000	Random	0.09	2	1	100	100	MXL
Sim1169	I8_BC	I3_BC	2000000	Random	0.1	2	1	100	100	MXL
Sim1170	I8_BC	I3_BC	2000000	Random	0.15	2	1	100	100	MXL
Sim1171	I8_BC	I3_BC	2000000	Random	0.2	2	1	100	100	MXL
Sim1172	I8_BC	I3_BC	2000000	Random	0.25	2	1	100	100	MXL
Sim1173	I8_BC	I3_BC	2000000	Random	0.3	2	1	100	100	MXL
Sim1174	I8_BC	I3_BC	2000000	Random	0.35	2	1	100	100	MXL
Sim1175	I8_BC	I3_BC	2000000	Random	0.4	2	1	100	100	MXL
Sim1176	I8_BC	I3_BC	2000000	Random	0.45	2	1	100	100	MXL
Sim1177	I8_BC	I3_BC	2000000	Random	0.5	2	1	100	100	MXL
Sim1178	I8_BC	I3_BC	2000000	Random	0.6	2	1	100	100	MXL
Sim1179	I8_BC	I3_BC	2000000	Random	0.7	2	1	100	100	MXL
Sim1180	I8_BC	I3_BC	2000000	Random	0.8	2	1	100	100	MXL
Sim1181	I8_BC	I3_BC	2000000	Random	0.9	2	1	100	100	MXL
Sim1182	I8_BC	I3_BC	2000000	Random	0.95	2	1	100	100	MXL
Sim1183	I8_BC	I3_BC	2000000	Random	1	2	1	100	100	MXL
Sim1184	I2_BC	I3_BC	2000000	Random	0	2	1	100	100	MXL
Sim1185	I2_BC	I3_BC	2000000	Random	0.0001	2	1	100	100	MXL
Sim1186	I2_BC	I3_BC	2000000	Random	0.0002	2	1	100	100	MXL
Sim1187	I2_BC	I3_BC	2000000	Random	0.0003	2	1	100	100	MXL
Sim1188	I2_BC	I3_BC	2000000	Random	0.0004	2	1	100	100	MXL
Sim1189	I2_BC	I3_BC	2000000	Random	0.0005	2	1	100	100	MXL
Sim1190	I2_BC	I3_BC	2000000	Random	0.0006	2	1	100	100	MXL
Sim1191	I2_BC	I3_BC	2000000	Random	0.0007	2	1	100	100	MXL
Sim1192	I2_BC	I3_BC	2000000	Random	0.0008	2	1	100	100	MXL
Sim1193	I2_BC	I3_BC	2000000	Random	0.0009	2	1	100	100	MXL
Sim1194	I2_BC	I3_BC	2000000	Random	0.001	2	1	100	100	MXL
Sim1195	I2_BC	I3_BC	2000000	Random	0.002	2	1	100	100	MXL
Sim1196	I2_BC	I3_BC	2000000	Random	0.003	2	1	100	100	MXL
Sim1197	I2_BC	I3_BC	2000000	Random	0.004	2	1	100	100	MXL
Sim1198	I2_BC	I3_BC	2000000	Random	0.005	2	1	100	100	MXL
Sim1199	I2_BC	I3_BC	2000000	Random	0.006	2	1	100	100	MXL
Sim1200	I2_BC	I3_BC	2000000	Random	0.007	2	1	100	100	MXL
Sim1201	I2_BC	I3_BC	2000000	Random	0.008	2	1	100	100	MXL
Sim1202	I2_BC	I3_BC	2000000	Random	0.009	2	1	100	100	MXL
Sim1203	I2_BC	I3_BC	2000000	Random	0.01	2	1	100	100	MXL
Sim1204	I2_BC	I3_BC	2000000	Random	0.011	2	1	100	100	MXL
Sim1205	I2_BC	I3_BC	2000000	Random	0.012	2	1	100	100	MXL
Sim1206	I2_BC	I3_BC	2000000	Random	0.013	2	1	100	100	MXL
Sim1207	I2_BC	I3_BC	2000000	Random	0.014	2	1	100	100	MXL
Sim1208	I2_BC	I3_BC	2000000	Random	0.015	2	1	100	100	MXL
Sim1209	I2_BC	I3_BC	2000000	Random	0.016	2	1	100	100	MXL
Sim1210	I2_BC	I3_BC	2000000	Random	0.017	2	1	100	100	MXL
Sim1211	I2_BC	I3_BC	2000000	Random	0.018	2	1	100	100	MXL
Sim1212	I2_BC	I3_BC	2000000	Random	0.019	2	1	100	100	MXL
Sim1213	I2_BC	I3_BC	2000000	Random	0.02	2	1	100	100	MXL
Sim1214	I2_BC	I3_BC	2000000	Random	0.0225	2	1	100	100	MXL
Sim1215	I2_BC	I3_BC	2000000	Random	0.025	2	1	100	100	MXL
Sim1216	I2_BC	I3_BC	2000000	Random	0.0275	2	1	100	100	MXL
Sim1217	I2_BC	I3_BC	2000000	Random	0.03	2	1	100	100	MXL
Sim1218	I2_BC	I3_BC	2000000	Random	0.0325	2	1	100	100	MXL
Sim1219	I2_BC	I3_BC	2000000	Random	0.035	2	1	100	100	MXL
Sim1220	I2_BC	I3_BC	2000000	Random	0.0375	2	1	100	100	MXL
Sim1221	I2_BC	I3_BC	2000000	Random	0.04	2	1	100	100	MXL
Sim1222	I2_BC	I3_BC	2000000	Random	0.0425	2	1	100	100	MXL
Sim1223	I2_BC	I3_BC	2000000	Random	0.045	2	1	100	100	MXL
Sim1224	I2_BC	I3_BC	2000000	Random	0.0475	2	1	100	100	MXL
Sim1225	I2_BC	I3_BC	2000000	Random	0.05	2	1	100	100	MXL
Sim1226	I2_BC	I3_BC	2000000	Random	0.06	2	1	100	100	MXL
Sim1227	I2_BC	I3_BC	2000000	Random	0.07	2	1	100	100	MXL
Sim1228	I2_BC	I3_BC	2000000	Random	0.08	2	1	100	100	MXL
Sim1229	I2_BC	I3_BC	2000000	Random	0.09	2	1	100	100	MXL
Sim1230	I2_BC	I3_BC	2000000	Random	0.1	2	1	100	100	MXL
Sim1231	I2_BC	I3_BC	2000000	Random	0.15	2	1	100	100	MXL
Sim1232	I2_BC	I3_BC	2000000	Random	0.2	2	1	100	100	MXL
Sim1233	I2_BC	I3_BC	2000000	Random	0.25	2	1	100	100	MXL
Sim1234	I2_BC	I3_BC	2000000	Random	0.3	2	1	100	100	MXL
Sim1235	I2_BC	I3_BC	2000000	Random	0.35	2	1	100	100	MXL
Sim1236	I2_BC	I3_BC	2000000	Random	0.4	2	1	100	100	MXL
Sim1237	I2_BC	I3_BC	2000000	Random	0.45	2	1	100	100	MXL
Sim1238	I2_BC	I3_BC	2000000	Random	0.5	2	1	100	100	MXL
Sim1239	I2_BC	I3_BC	2000000	Random	0.6	2	1	100	100	MXL
Sim1240	I2_BC	I3_BC	2000000	Random	0.7	2	1	100	100	MXL
Sim1241	I2_BC	I3_BC	2000000	Random	0.8	2	1	100	100	MXL
Sim1242	I2_BC	I3_BC	2000000	Random	0.9	2	1	100	100	MXL
Sim1243	I2_BC	I3_BC	2000000	Random	0.95	2	1	100	100	MXL
Sim1244	I2_BC	I3_BC	2000000	Random	1	2	1	100	100	MXL
Sim1306	I8_BC	I2_BC	2000000	Random	0	1	1	100	100	SAS
Sim1307	I8_BC	I2_BC	2000000	Random	0.0001	1	1	100	100	SAS
Sim1308	I8_BC	I2_BC	2000000	Random	0.0002	1	1	100	100	SAS
Sim1309	I8_BC	I2_BC	2000000	Random	0.0003	1	1	100	100	SAS
Sim1310	I8_BC	I2_BC	2000000	Random	0.0004	1	1	100	100	SAS
Sim1311	I8_BC	I2_BC	2000000	Random	0.0005	1	1	100	100	SAS
Sim1312	I8_BC	I2_BC	2000000	Random	0.0006	1	1	100	100	SAS
Sim1313	I8_BC	I2_BC	2000000	Random	0.0007	1	1	100	100	SAS
Sim1314	I8_BC	I2_BC	2000000	Random	0.0008	1	1	100	100	SAS
Sim1315	I8_BC	I2_BC	2000000	Random	0.0009	1	1	100	100	SAS
Sim1316	I8_BC	I2_BC	2000000	Random	0.001	1	1	100	100	SAS
Sim1317	I8_BC	I2_BC	2000000	Random	0.002	1	1	100	100	SAS
Sim1318	I8_BC	I2_BC	2000000	Random	0.003	1	1	100	100	SAS
Sim1319	I8_BC	I2_BC	2000000	Random	0.004	1	1	100	100	SAS
Sim1320	I8_BC	I2_BC	2000000	Random	0.005	1	1	100	100	SAS
Sim1321	I8_BC	I2_BC	2000000	Random	0.006	1	1	100	100	SAS
Sim1322	I8_BC	I2_BC	2000000	Random	0.007	1	1	100	100	SAS
Sim1323	I8_BC	I2_BC	2000000	Random	0.008	1	1	100	100	SAS
Sim1324	I8_BC	I2_BC	2000000	Random	0.009	1	1	100	100	SAS
Sim1325	I8_BC	I2_BC	2000000	Random	0.01	1	1	100	100	SAS
Sim1326	I8_BC	I2_BC	2000000	Random	0.011	1	1	100	100	SAS
Sim1327	I8_BC	I2_BC	2000000	Random	0.012	1	1	100	100	SAS
Sim1328	I8_BC	I2_BC	2000000	Random	0.013	1	1	100	100	SAS
Sim1329	I8_BC	I2_BC	2000000	Random	0.014	1	1	100	100	SAS
Sim1330	I8_BC	I2_BC	2000000	Random	0.015	1	1	100	100	SAS
Sim1331	I8_BC	I2_BC	2000000	Random	0.016	1	1	100	100	SAS
Sim1332	I8_BC	I2_BC	2000000	Random	0.017	1	1	100	100	SAS
Sim1333	I8_BC	I2_BC	2000000	Random	0.018	1	1	100	100	SAS
Sim1334	I8_BC	I2_BC	2000000	Random	0.019	1	1	100	100	SAS
Sim1335	I8_BC	I2_BC	2000000	Random	0.02	1	1	100	100	SAS
Sim1336	I8_BC	I2_BC	2000000	Random	0.0225	1	1	100	100	SAS
Sim1337	I8_BC	I2_BC	2000000	Random	0.025	1	1	100	100	SAS
Sim1338	I8_BC	I2_BC	2000000	Random	0.0275	1	1	100	100	SAS
Sim1339	I8_BC	I2_BC	2000000	Random	0.03	1	1	100	100	SAS
Sim1340	I8_BC	I2_BC	2000000	Random	0.0325	1	1	100	100	SAS
Sim1341	I8_BC	I2_BC	2000000	Random	0.035	1	1	100	100	SAS
Sim1342	I8_BC	I2_BC	2000000	Random	0.0375	1	1	100	100	SAS
Sim1343	I8_BC	I2_BC	2000000	Random	0.04	1	1	100	100	SAS
Sim1344	I8_BC	I2_BC	2000000	Random	0.0425	1	1	100	100	SAS
Sim1345	I8_BC	I2_BC	2000000	Random	0.045	1	1	100	100	SAS
Sim1346	I8_BC	I2_BC	2000000	Random	0.0475	1	1	100	100	SAS
Sim1347	I8_BC	I2_BC	2000000	Random	0.05	1	1	100	100	SAS
Sim1348	I8_BC	I2_BC	2000000	Random	0.06	1	1	100	100	SAS
Sim1349	I8_BC	I2_BC	2000000	Random	0.07	1	1	100	100	SAS
Sim1350	I8_BC	I2_BC	2000000	Random	0.08	1	1	100	100	SAS
Sim1351	I8_BC	I2_BC	2000000	Random	0.09	1	1	100	100	SAS
Sim1352	I8_BC	I2_BC	2000000	Random	0.1	1	1	100	100	SAS
Sim1353	I8_BC	I2_BC	2000000	Random	0.15	1	1	100	100	SAS
Sim1354	I8_BC	I2_BC	2000000	Random	0.2	1	1	100	100	SAS
Sim1355	I8_BC	I2_BC	2000000	Random	0.25	1	1	100	100	SAS
Sim1356	I8_BC	I2_BC	2000000	Random	0.3	1	1	100	100	SAS
Sim1357	I8_BC	I2_BC	2000000	Random	0.35	1	1	100	100	SAS
Sim1358	I8_BC	I2_BC	2000000	Random	0.4	1	1	100	100	SAS
Sim1359	I8_BC	I2_BC	2000000	Random	0.45	1	1	100	100	SAS
Sim1360	I8_BC	I2_BC	2000000	Random	0.5	1	1	100	100	SAS
Sim1361	I8_BC	I2_BC	2000000	Random	0.6	1	1	100	100	SAS
Sim1362	I8_BC	I2_BC	2000000	Random	0.7	1	1	100	100	SAS
Sim1363	I8_BC	I2_BC	2000000	Random	0.8	1	1	100	100	SAS
Sim1364	I8_BC	I2_BC	2000000	Random	0.9	1	1	100	100	SAS
Sim1365	I8_BC	I2_BC	2000000	Random	0.95	1	1	100	100	SAS
Sim1366	I8_BC	I2_BC	2000000	Random	1	1	1	100	100	SAS
Sim1367	I8_BC	I3_BC	2000000	Random	0	1	1	100	100	MXL
Sim1368	I8_BC	I3_BC	2000000	Random	0.0001	1	1	100	100	MXL
Sim1369	I8_BC	I3_BC	2000000	Random	0.0002	1	1	100	100	MXL
Sim1370	I8_BC	I3_BC	2000000	Random	0.0003	1	1	100	100	MXL
Sim1371	I8_BC	I3_BC	2000000	Random	0.0004	1	1	100	100	MXL
Sim1372	I8_BC	I3_BC	2000000	Random	0.0005	1	1	100	100	MXL
Sim1373	I8_BC	I3_BC	2000000	Random	0.0006	1	1	100	100	MXL
Sim1374	I8_BC	I3_BC	2000000	Random	0.0007	1	1	100	100	MXL
Sim1375	I8_BC	I3_BC	2000000	Random	0.0008	1	1	100	100	MXL
Sim1376	I8_BC	I3_BC	2000000	Random	0.0009	1	1	100	100	MXL
Sim1377	I8_BC	I3_BC	2000000	Random	0.001	1	1	100	100	MXL
Sim1378	I8_BC	I3_BC	2000000	Random	0.002	1	1	100	100	MXL
Sim1379	I8_BC	I3_BC	2000000	Random	0.003	1	1	100	100	MXL
Sim1380	I8_BC	I3_BC	2000000	Random	0.004	1	1	100	100	MXL
Sim1381	I8_BC	I3_BC	2000000	Random	0.005	1	1	100	100	MXL
Sim1382	I8_BC	I3_BC	2000000	Random	0.006	1	1	100	100	MXL
Sim1383	I8_BC	I3_BC	2000000	Random	0.007	1	1	100	100	MXL
Sim1384	I8_BC	I3_BC	2000000	Random	0.008	1	1	100	100	MXL
Sim1385	I8_BC	I3_BC	2000000	Random	0.009	1	1	100	100	MXL
Sim1386	I8_BC	I3_BC	2000000	Random	0.01	1	1	100	100	MXL
Sim1387	I8_BC	I3_BC	2000000	Random	0.011	1	1	100	100	MXL
Sim1388	I8_BC	I3_BC	2000000	Random	0.012	1	1	100	100	MXL
Sim1389	I8_BC	I3_BC	2000000	Random	0.013	1	1	100	100	MXL
Sim1390	I8_BC	I3_BC	2000000	Random	0.014	1	1	100	100	MXL
Sim1391	I8_BC	I3_BC	2000000	Random	0.015	1	1	100	100	MXL
Sim1392	I8_BC	I3_BC	2000000	Random	0.016	1	1	100	100	MXL
Sim1393	I8_BC	I3_BC	2000000	Random	0.017	1	1	100	100	MXL
Sim1394	I8_BC	I3_BC	2000000	Random	0.018	1	1	100	100	MXL
Sim1395	I8_BC	I3_BC	2000000	Random	0.019	1	1	100	100	MXL
Sim1396	I8_BC	I3_BC	2000000	Random	0.02	1	1	100	100	MXL
Sim1397	I8_BC	I3_BC	2000000	Random	0.0225	1	1	100	100	MXL
Sim1398	I8_BC	I3_BC	2000000	Random	0.025	1	1	100	100	MXL
Sim1399	I8_BC	I3_BC	2000000	Random	0.0275	1	1	100	100	MXL
Sim1400	I8_BC	I3_BC	2000000	Random	0.03	1	1	100	100	MXL
Sim1401	I8_BC	I3_BC	2000000	Random	0.0325	1	1	100	100	MXL
Sim1402	I8_BC	I3_BC	2000000	Random	0.035	1	1	100	100	MXL
Sim1403	I8_BC	I3_BC	2000000	Random	0.0375	1	1	100	100	MXL
Sim1404	I8_BC	I3_BC	2000000	Random	0.04	1	1	100	100	MXL
Sim1405	I8_BC	I3_BC	2000000	Random	0.0425	1	1	100	100	MXL
Sim1406	I8_BC	I3_BC	2000000	Random	0.045	1	1	100	100	MXL
Sim1407	I8_BC	I3_BC	2000000	Random	0.0475	1	1	100	100	MXL
Sim1408	I8_BC	I3_BC	2000000	Random	0.05	1	1	100	100	MXL
Sim1409	I8_BC	I3_BC	2000000	Random	0.06	1	1	100	100	MXL
Sim1410	I8_BC	I3_BC	2000000	Random	0.07	1	1	100	100	MXL
Sim1411	I8_BC	I3_BC	2000000	Random	0.08	1	1	100	100	MXL
Sim1412	I8_BC	I3_BC	2000000	Random	0.09	1	1	100	100	MXL
Sim1413	I8_BC	I3_BC	2000000	Random	0.1	1	1	100	100	MXL
Sim1414	I8_BC	I3_BC	2000000	Random	0.15	1	1	100	100	MXL
Sim1415	I8_BC	I3_BC	2000000	Random	0.2	1	1	100	100	MXL
Sim1416	I8_BC	I3_BC	2000000	Random	0.25	1	1	100	100	MXL
Sim1417	I8_BC	I3_BC	2000000	Random	0.3	1	1	100	100	MXL
Sim1418	I8_BC	I3_BC	2000000	Random	0.35	1	1	100	100	MXL
Sim1419	I8_BC	I3_BC	2000000	Random	0.4	1	1	100	100	MXL
Sim1420	I8_BC	I3_BC	2000000	Random	0.45	1	1	100	100	MXL
Sim1421	I8_BC	I3_BC	2000000	Random	0.5	1	1	100	100	MXL
Sim1422	I8_BC	I3_BC	2000000	Random	0.6	1	1	100	100	MXL
Sim1423	I8_BC	I3_BC	2000000	Random	0.7	1	1	100	100	MXL
Sim1424	I8_BC	I3_BC	2000000	Random	0.8	1	1	100	100	MXL
Sim1425	I8_BC	I3_BC	2000000	Random	0.9	1	1	100	100	MXL
Sim1426	I8_BC	I3_BC	2000000	Random	0.95	1	1	100	100	MXL
Sim1427	I8_BC	I3_BC	2000000	Random	1	1	1	100	100	MXL
Sim1428	I2_BC	I3_BC	2000000	Random	0	1	1	100	100	MXL
Sim1429	I2_BC	I3_BC	2000000	Random	0.0001	1	1	100	100	MXL
Sim1430	I2_BC	I3_BC	2000000	Random	0.0002	1	1	100	100	MXL
Sim1431	I2_BC	I3_BC	2000000	Random	0.0003	1	1	100	100	MXL
Sim1432	I2_BC	I3_BC	2000000	Random	0.0004	1	1	100	100	MXL
Sim1433	I2_BC	I3_BC	2000000	Random	0.0005	1	1	100	100	MXL
Sim1434	I2_BC	I3_BC	2000000	Random	0.0006	1	1	100	100	MXL
Sim1435	I2_BC	I3_BC	2000000	Random	0.0007	1	1	100	100	MXL
Sim1436	I2_BC	I3_BC	2000000	Random	0.0008	1	1	100	100	MXL
Sim1437	I2_BC	I3_BC	2000000	Random	0.0009	1	1	100	100	MXL
Sim1438	I2_BC	I3_BC	2000000	Random	0.001	1	1	100	100	MXL
Sim1439	I2_BC	I3_BC	2000000	Random	0.002	1	1	100	100	MXL
Sim1440	I2_BC	I3_BC	2000000	Random	0.003	1	1	100	100	MXL
Sim1441	I2_BC	I3_BC	2000000	Random	0.004	1	1	100	100	MXL
Sim1442	I2_BC	I3_BC	2000000	Random	0.005	1	1	100	100	MXL
Sim1443	I2_BC	I3_BC	2000000	Random	0.006	1	1	100	100	MXL
Sim1444	I2_BC	I3_BC	2000000	Random	0.007	1	1	100	100	MXL
Sim1445	I2_BC	I3_BC	2000000	Random	0.008	1	1	100	100	MXL
Sim1446	I2_BC	I3_BC	2000000	Random	0.009	1	1	100	100	MXL
Sim1447	I2_BC	I3_BC	2000000	Random	0.01	1	1	100	100	MXL
Sim1448	I2_BC	I3_BC	2000000	Random	0.011	1	1	100	100	MXL
Sim1449	I2_BC	I3_BC	2000000	Random	0.012	1	1	100	100	MXL
Sim1450	I2_BC	I3_BC	2000000	Random	0.013	1	1	100	100	MXL
Sim1451	I2_BC	I3_BC	2000000	Random	0.014	1	1	100	100	MXL
Sim1452	I2_BC	I3_BC	2000000	Random	0.015	1	1	100	100	MXL
Sim1453	I2_BC	I3_BC	2000000	Random	0.016	1	1	100	100	MXL
Sim1454	I2_BC	I3_BC	2000000	Random	0.017	1	1	100	100	MXL
Sim1455	I2_BC	I3_BC	2000000	Random	0.018	1	1	100	100	MXL
Sim1456	I2_BC	I3_BC	2000000	Random	0.019	1	1	100	100	MXL
Sim1457	I2_BC	I3_BC	2000000	Random	0.02	1	1	100	100	MXL
Sim1458	I2_BC	I3_BC	2000000	Random	0.0225	1	1	100	100	MXL
Sim1459	I2_BC	I3_BC	2000000	Random	0.025	1	1	100	100	MXL
